Date Sample Collected,Time Sample Collected,Temperature,Dissolved Oxygen,pH,E.Cond.,Secchi Depth,Salinity (Field),E. coli,Thermotolerant coliforms,Intestinal enterococci,Chlorophyll a,Chloro-a Phenophytin ratio,BOD5,Suspended Solids,Organic Carbon - Total,Ammonia as N,Nitrate + Nitrite as N,Phosphate as P,Total Nitrogen as N,Total Phosphorus as P,TKN as N (TN-NOX)
2014-03-05T00:00:00,08:40:00,25.9,4.3,7.5,38800,0.7,24.6,8 EST,9 EST,5 EST,6.4,1.1,4,6,15,0.011,0.025,0.13,0.57,0.19,0.55
2014-03-05T00:00:00,09:00:00,26.4,4.9,7.5,38800,0.7,24.7,6 EST,13 EST,3 EST,9.6,1.1,3,11,15,0.019,0.03,0.16,0.63,0.22,0.6
2014-03-05T00:00:00,09:25:00,26.6,4.8,7.5,43300,0.7,27.9,10 EST,12 EST,1 EST,7.5,1.1,4,16,12,0.013,0.013,0.07,0.51,0.13,0.5
2014-03-05T00:00:00,09:45:00,26.5,4.1,7.4,42400,0.7,27.3,9 EST,17,5 EST,9.6,1.1,3,21,13,0.018,0.012,0.056,0.49,0.12,0.47
2014-03-05T00:00:00,10:10:00,26.3,4.8,7.4,40900,0.7,26.1,14,22,2 EST,15,1.2,3,15,12,<0.005,<0.005,0.038,0.48,0.11,0.48
2014-04-10T00:00:00,08:35:00,24.8,6.1,7.8,33700,1.2,21.1,6,23,9 EST,2.1,1,3,7,13,0.034,0.012,0.064,0.45,0.1,0.44
2014-04-10T00:00:00,08:58:00,25.5,5.2,7.7,34400,1.2,21.6,32,50,2 EST,2.1,1,4,10,11,0.049,0.021,0.094,0.49,0.14,0.47
2014-04-10T00:00:00,10:10:00,25.9,4.3,7.6,30600,1.2,19,23,43,5 EST,8.5,1.1,3,9,11,0.087,0.031,0.11,0.67,0.18,0.64
2014-04-10T00:00:00,10:37:00,26,4.2,7.5,29800,1.1,18.5,16,36,1 EST,5.3,1.1,<3,11,12,0.11,0.033,0.087,0.55,0.14,0.51
2014-04-10T00:00:00,10:56:00,26.1,3.6,7.4,28900,1.1,17.8,21,55,2 EST,5.3,1.1,<3,8,11,0.12,0.047,0.08,0.56,0.13,0.51
2014-04-10T00:00:00,11:20:00,25.8,5.7,7.3,23500,1.1,14.2,36,80,5 EST,4.3,1.1,<3,5,12,0.11,0.073,0.064,0.55,0.11,0.48
2014-04-10T00:00:00,11:50:00,25.7,4.4,7.2,19700,0.5,11.7,74,140,15,4.3,1,<3,6,13,0.1,0.088,0.049,0.53,0.09,0.44
2014-05-15T00:00:00,11:47:00,21,7.2,7.9,47300,1,30.7,200,210,11,3.2,1,<3,6,8,<0.005,<0.005,0.037,0.29,0.06,0.29
2014-05-15T00:00:00,11:21:00,21.1,6.5,7.8,48500,1,31.6,230,260,29,3.2,1.1,<3,4,9,<0.005,<0.005,0.044,0.33,0.08,0.33
2014-05-15T00:00:00,10:50:00,21.2,6.7,7.8,45400,1,29.3,170,180,9,4.3,1.1,<3,6,10,<0.005,<0.005,0.043,0.33,0.08,0.33
2014-05-15T00:00:00,10:18:00,21.2,6.6,7.7,43700,1,28.1,200,240,13,4.3,1.1,<3,10,7,<0.005,<0.005,0.052,0.36,0.09,0.36
2014-05-15T00:00:00,10:00:00,20.9,6,7.7,43600,1,28,140,140,16,5.3,1.1,<3,14,6,<0.005,<0.005,0.06,0.4,0.1,0.4
2014-05-15T00:00:00,09:31:00,21,7.7,7.7,43000,1,27.6,100 EST,100 EST,16,7.5,1.1,<3,8,4,<0.005,<0.005,0.063,0.41,0.11,0.41
2014-05-15T00:00:00,08:55:00,21.1,5.8,7.5,40400,1,25.7,38,38,18,4.3,1,<3,9,7,0.014,0.026,0.074,0.41,0.11,0.38
2014-05-15T00:00:00,08:34:00,21,6,7.3,37600,1,23.8,35,45,18,2.1,1,<3,3,6,0.035,0.052,0.057,0.39,0.08,0.34
2014-06-18T00:00:00,08:32:00,17.6,7.3,7.6,47200,0.95,30.5,37,37,4 EST,4.3,1,<3,10,15,0.033,0.033,0.056,0.45,0.08,0.41
2014-06-18T00:00:00,09:05:00,18,9,7.5,45000,1.2,28.9,15,17,6 EST,3.2,1,<3,4,13,0.041,0.043,0.066,0.43,0.09,0.38
2014-06-18T00:00:00,09:26:00,18.3,6.2,7.4,43800,1.5,28.1,8 EST,8 EST,3 EST,2.1,1,<3,7,11,0.06,0.056,0.078,0.45,0.1,0.39
2014-06-18T00:00:00,09:47:00,18.6,5.6,7.4,41300,1.4,26.3,12,15,3 EST,2.1,1,<3,5,10,0.072,0.063,0.1,0.49,0.13,0.43
2014-06-18T00:00:00,10:08:00,18.6,8.9,7.4,40400,1.4,25.7,6 EST,10,7 EST,2.1,1,<3,3,11,0.076,0.066,0.074,0.46,0.1,0.4
2014-06-18T00:00:00,10:24:00,18.4,5.2,7.3,40300,1.6,25.6,7 EST,7 EST,4 EST,2.1,1,<3,4,10,0.083,0.076,0.054,0.44,0.08,0.36
2014-06-18T00:00:00,10:41:00,18.3,9,7.3,39600,1.5,25.1,5 EST,7 EST,7 EST,3.2,1,<3,7,10,0.065,0.082,0.053,0.42,0.08,0.34
2014-06-18T00:00:00,11:05:00,18.4,8.9,7.3,37800,1.2,23.8,8 EST,10,5 EST,2.1,1,<3,9,10,0.06,0.082,0.049,0.44,0.07,0.36
2014-07-31T00:00:00,07:35:00,16.5,7.4,7.5,47700,1.6,30.8,20,17,4 EST,1.6,1,<3,7,15,0.021,0.012,0.043,0.31,0.06,0.29
2014-07-31T00:00:00,08:05:00,17.1,6.5,7.6,47800,1.7,30.9,25,30,3 EST,3.2,1.1,<3,5,12,0.022,0.014,0.055,0.37,0.08,0.36
2014-07-31T00:00:00,08:25:00,17.5,6.4,7.6,46400,1.7,29.9,24,26,7 EST,2.1,1.1,<3,5,13,0.029,0.015,0.058,0.34,0.08,0.32
2014-07-31T00:00:00,08:50:00,17.6,5.8,7.4,44400,1.7,28.4,8 EST,8 EST,6 EST,1.3,1,<3,7,10,0.034,0.021,0.06,0.35,0.08,0.33
2014-07-31T00:00:00,09:15:00,17.8,8.1,7.4,41400,1.8,26.3,10,12,7 EST,2.1,1,<3,4,11,0.035,0.022,0.071,0.37,0.09,0.35
2014-07-31T00:00:00,09:40:00,17.7,6.5,7.4,43700,1.8,28,9,11,5 EST,2.1,1,<3,7,11,0.038,0.023,0.062,0.36,0.09,0.34
2014-07-31T00:00:00,10:05:00,17.4,5.8,7.3,42600,1.9,27.2,6 EST,9,3 EST,<1,1,<3,6,10,0.027,0.021,0.05,0.31,0.07,0.29
2014-07-31T00:00:00,10:35:00,17.3,6.1,7.3,41400,1.4,26.4,15,17,5 EST,1.1,1,<3,2,13,0.019,0.018,0.042,0.27,0.05,0.25
2014-08-21T00:00:00,07:48:00,17.6,8.1,7.7,39200,1.4,24.8,18,21,8 EST,1.1,1,<3,8,13,0.078,0.1,0.06,0.44,0.08,0.34
2014-08-21T00:00:00,08:20:00,17.9,6.6,7.7,40300,1.4,25.6,78,81,6 EST,2.1,1,<3,7,12,0.077,0.094,0.087,0.64,0.11,0.54
2014-08-21T00:00:00,08:44:00,18.4,6.4,7.6,37900,1.4,24,110,110,7 EST,2.1,1,<3,20,11,0.075,0.094,0.094,0.5,0.12,0.41
2014-08-21T00:00:00,09:11:00,18.7,5.8,7.5,34100,1.6,21.3,160,160,12,3.2,1.1,<3,17,14,0.078,0.095,0.13,0.56,0.16,0.46
2014-08-21T00:00:00,09:28:00,18.9,5.3,7.5,37100,1.5,23.4,120,120,17,1.1,1,<3,8,11,0.092,0.091,0.11,0.53,0.13,0.44
2014-08-21T00:00:00,09:43:00,18.9,5.3,7.4,35900,1.5,22.5,32,33,5 EST,1.6,1,<3,18,<10,0.094,0.093,0.098,0.49,0.12,0.4
2014-08-21T00:00:00,10:01:00,19.1,4.8,7.4,34000,1.5,21.2,16,20,14,1.6,1,<3,6,10,0.089,0.094,0.069,0.45,0.09,0.36
2014-08-21T00:00:00,10:24:00,18.8,5.4,7.4,31100,1.2,19.3,41,51,26,1.1,1,<3,3,<10,0.067,0.097,0.046,0.42,0.06,0.33
2014-09-04T00:00:00,07:30:00,17.7,8.5,7.7,37000,1.8,23.3,4 EST,6 EST,<1,2.1,1,<3,3,15,0.007,0.035,0.037,0.31,0.05,0.27
2014-09-04T00:00:00,08:02:00,17.8,7.7,7.7,37400,1.4,23.5,20,24,2 EST,3.2,1.1,<3,4,11,0.005,0.04,0.047,0.34,0.07,0.3
2014-09-04T00:00:00,08:22:00,18.5,7.3,7.7,34800,2.3,21.8,6 EST,10,3 EST,3.7,1.1,<3,4,12,<0.005,0.042,0.047,0.42,0.07,0.38
2014-09-04T00:00:00,08:46:00,18.9,6.9,7.6,34500,1.7,21.6,7 EST,12,3 EST,4.3,1.1,<3,6,<10,0.011,0.048,0.046,0.36,0.07,0.31
2014-09-04T00:00:00,09:00:00,18.5,6.6,7.5,33600,1.6,20.9,5 EST,6 EST,2 EST,3.7,1.1,<3,5,12,0.015,0.056,0.046,0.36,0.07,0.3
2014-09-04T00:00:00,09:12:00,18.5,6.4,7.5,32700,2.5,20.3,5 EST,14,4 EST,2.7,1.1,<3,5,11,0.017,0.057,0.047,0.34,0.06,0.28
2014-09-04T00:00:00,09:35:00,18.5,6.1,7.5,30900,2.3,19.1,6 EST,8 EST,4 EST,1.6,1,<3,2,<10,0.016,0.051,0.041,0.32,0.05,0.27
2014-09-04T00:00:00,10:02:00,17.9,6.1,7.4,28300,0.5,17.3,22,25,10,1.1,1,<3,<2,11,0.015,0.036,0.031,0.29,0.04,0.25
2014-10-09T00:00:00,08:00:00,24.2,6.6,7.7,43200,1,27.8,5 EST,14,<1,4.7,1.1,<3,20,10,0.008,<0.005,0.045,0.33,0.08,0.33
2014-10-09T00:00:00,08:28:00,24.3,6.2,7.7,43600,1,28.1,8 EST,12,1 EST,4.7,1.1,<3,10,8,0.01,<0.005,0.047,0.31,0.07,0.31
2014-10-09T00:00:00,09:03:00,24.4,6,7.7,42600,1,27.3,14,14,1 EST,4,1.1,<3,20,7,0.014,<0.005,0.05,0.31,0.08,0.31
2014-10-09T00:00:00,09:25:00,24.4,5.8,7.7,41500,1,26.6,8 EST,13,<1,5.3,1.1,<3,10,8,0.01,<0.005,0.052,0.31,0.08,0.31
2014-10-09T00:00:00,09:50:00,24.4,5.9,7.7,41500,1,26.6,14,23,2 EST,6,1.1,<3,7,8,0.008,<0.005,0.055,0.32,0.08,0.32
2014-10-09T00:00:00,10:10:00,24.5,5,7.7,41000,1.3,26.2,10,14,4 EST,6.7,1.1,<3,12,9,0.007,<0.005,0.057,0.33,0.08,0.33
2014-10-09T00:00:00,10:32:00,24.6,5.4,7.7,39100,1.2,24.9,11,16,6 EST,7.3,1.1,<3,4,8,0.006,<0.005,0.066,0.35,0.09,0.35
2014-10-09T00:00:00,10:54:00,24.6,4.7,7.5,36100,1.2,22.8,11,14,4 EST,6.7,1.1,<3,6,9,0.014,0.012,0.065,0.36,0.09,0.35
2014-11-13T00:00:00,07:30:00,26.6,6.5,7.5,46300,0.9,30.1,13,14,1 EST,26,3.7,<3,8,<10,<0.005,<0.005,0.053,0.41,0.09,0.41
2014-11-13T00:00:00,08:00:00,27.5,4.9,7.5,49500,0.9,32.4,11,14,<1,42,7.8,<3,8,<10,<0.005,<0.005,0.054,0.37,0.09,0.37
2014-11-13T00:00:00,08:20:00,27.4,4.3,7.5,46200,0.9,30,12,13,<1,8,2,<3,5,13,<0.005,<0.005,0.057,0.37,0.09,0.37
2014-11-13T00:00:00,08:40:00,27.5,4.4,7.4,44500,1,28.7,8 EST,11 EST,1 EST,21,6.4,<3,6,11,0.005,0.008,0.083,0.52,0.12,0.51
2014-11-13T00:00:00,09:00:00,27.6,4.9,7.4,45400,0.9,29.4,26,27,2 EST,6.9,1.2,<3,4,13,<0.005,0.013,0.095,0.51,0.13,0.49
2014-11-13T00:00:00,09:15:00,27.9,4.3,7.4,44800,0.9,28.9,4 EST,6 EST,<1,9.1,1.2,<3,11,15,<0.005,<0.005,0.051,0.38,0.09,0.38
2014-11-13T00:00:00,09:35:00,27.6,3.7,7.4,43600,0.9,28.1,11,14,1 EST,4.8,1.1,<3,6,15,0.011,0.009,0.055,0.39,0.1,0.38
2014-11-13T00:00:00,10:00:00,27.8,4.3,7.3,40800,0.9,26.1,5 EST,7 EST,<1,4.3,1.2,<3,6,21,0.019,0.013,0.045,0.38,0.07,0.36
2014-12-18T00:00:00,07:35:00,28,7.9,7.8,47600,1.1,31,1 EST,5 EST,<1,5.3,1.1,3,6,19,<0.005,<0.005,0.056,0.4,0.09,0.4
2014-12-18T00:00:00,08:05:00,28.4,6.1,7.8,46700,1,30.3,1 EST,5 EST,<1,5.9,1.1,<3,8,16,<0.005,<0.005,0.063,0.36,0.09,0.36
2014-12-18T00:00:00,08:35:00,28.1,7.4,7.7,44700,1,28.9,5 EST,6 EST,2 EST,5.9,1.1,<3,10,13,<0.005,<0.005,0.077,0.38,0.11,0.38
2014-12-18T00:00:00,09:00:00,28.1,7.2,7.7,42500,1,27.3,5 EST,7 EST,<1,9.6,1.2,<3,11,14,<0.005,<0.005,0.1,0.42,0.14,0.42
2014-12-18T00:00:00,09:20:00,28.1,5.8,7.7,44900,0.9,29,7 EST,8 EST,<1,9.1,1.2,<3,14,14,<0.005,<0.005,0.083,0.41,0.12,0.41
2014-12-18T00:00:00,09:37:00,28.4,7.2,7.7,43700,0.9,28.2,5 EST,14,<1,14,1.2,<3,28,14,<0.005,<0.005,0.089,0.46,0.14,0.46
2014-12-18T00:00:00,09:57:00,29.4,5.8,7.5,40800,0.9,26.1,14,19,1 EST,11,1.2,<3,9,14,<0.005,<0.005,0.077,0.46,0.12,0.46
2014-12-18T00:00:00,10:25:00,29.6,5.7,7.5,38300,0.8,24.3,20,20,9 EST,10,1.2,<3,25,14,<0.005,<0.005,0.068,0.42,0.11,0.42
2015-01-07T00:00:00,07:52:00,27.6,6.1,7.4,37500,0.9,23.8,34,59,21,6.4,1.1,<3,14,14,<0.005,<0.005,0.049,0.53,0.1,0.53
2015-01-07T00:00:00,08:28:00,27.8,7.6,7.5,38000,0.9,24.1,24,56,18,9.6,1.1,<3,10,<10,<0.005,<0.005,0.053,0.48,0.1,0.48
2015-01-07T00:00:00,09:16:00,27.9,5.7,7.5,36100,0.9,22.8,25,38,14,13,1.1,<3,8,10,<0.005,<0.005,0.053,0.51,0.1,0.51
2015-01-07T00:00:00,08:56:00,28,6.1,7.5,34000,0.9,21.3,25,43,22,5.3,1.1,<3,8,<10,<0.005,<0.005,0.062,0.61,0.12,0.61
2015-01-07T00:00:00,09:39:00,28,6.4,7.5,34100,0.9,21.4,36,140,47,7.5,1.1,<3,15,<10,<0.005,0.011,0.06,0.6,0.11,0.59
2015-01-07T00:00:00,10:00:00,28.1,5.8,7.5,35400,0.9,22.3,28,55,14,7.5,1.1,<3,14,<10,<0.005,<0.005,0.061,0.58,0.12,0.58
2015-01-07T00:00:00,10:25:00,28.2,7.5,7.4,34000,0.9,21.3,15,33,6 EST,7.5,1.1,<3,9,<10,<0.005,0.005,0.069,0.62,0.13,0.61
2015-01-07T00:00:00,10:47:00,28.5,7.6,7.3,30600,0.9,19,13,20,12,9.6,1.1,<3,10,<10,<0.005,0.033,0.067,0.58,0.12,0.54
2015-03-12T00:00:00,07:20:00,28.1,5.5,7.5,32000,0.4,20000,8 EST,21,2 EST,3.3,1.1,<3,7,6,0.007,<0.005,0.024,0.5,0.07,0.5
2015-03-12T00:00:00,07:51:00,28.7,5.2,7.5,32400,0.4,20200,5 EST,26,5 EST,4.7,1.1,<3,5,4,0.005,<0.005,0.039,0.45,0.08,0.45
2015-03-12T00:00:00,08:12:00,28.6,5,7.4,27900,0.4,17100,5 EST,26,5 EST,6.7,1.1,<3,4,5,0.007,<0.005,0.041,0.54,0.08,0.54
2015-03-12T00:00:00,08:33:00,28.8,4.7,7.4,26000,0.4,15800,12,26,10 EST,6,1.1,<3,3,6,0.006,0.008,0.086,0.53,0.13,0.52
2015-03-12T00:00:00,08:56:00,28.7,4.9,7.4,25400,0.4,15500,16,33,14 EST,7.3,1.1,<3,6,4,0.005,<0.005,0.034,0.5,0.09,0.5
2015-03-12T00:00:00,09:15:00,28.7,4.8,7.4,24200,0.4,14700,7 EST,32,7 EST,7.3,1.1,<3,5,4,0.005,<0.005,0.036,0.44,0.08,0.44
2015-03-12T00:00:00,09:37:00,28.7,4.2,7.3,21000,0.4,12500,16,55,23,8,1.1,<3,6,5,0.007,<0.005,0.036,0.44,0.09,0.44
2015-03-12T00:00:00,09:54:00,28.7,4.7,7.3,19200,0.4,11400,22,73,14,9.3,1.2,<3,<2,<1,<0.005,<0.005,0.025,0.4,0.07,0.4
2015-04-23T00:00:00,08:16:00,21.4,4.4,7.4,33900,1.5,21.2,6 EST,25,5 EST,5.3,1.1,<3,8,5,0.049,0.036,0.04,0.51,0.08,0.47
2015-04-23T00:00:00,09:00:00,22.4,4.1,7.4,35200,1.5,22.1,12,40,5 EST,5.3,1.1,<3,12,5,0.071,0.032,0.048,0.62,0.09,0.59
2015-04-23T00:00:00,09:27:00,22.7,4,7.4,32100,1.5,20,9 EST,29,12,4.7,1.1,<3,11,5,0.094,0.038,0.051,0.53,0.09,0.49
2015-04-23T00:00:00,09:55:00,23.1,3.6,7.3,29700,1.4,18.4,12,42,7 EST,2.7,1,<3,2,4,0.1,0.044,0.054,0.51,0.08,0.47
2015-04-23T00:00:00,10:32:00,23.1,4.3,7.3,31000,1.4,19.2,9,31,5 EST,4.7,1.1,<3,5,4,0.1,0.041,0.055,0.55,0.09,0.51
2015-04-23T00:00:00,10:55:00,23.2,3.8,7.3,30100,1.4,18.6,22,50,15,4,1.1,<3,6,4,0.11,0.049,0.051,0.58,0.08,0.53
2015-04-23T00:00:00,11:25:00,23,4.4,7.2,27000,1.2,16.6,16,41,13,3.3,1.1,<3,11,4,0.11,0.062,0.048,0.49,0.08,0.43
2015-04-23T00:00:00,11:43:00,23.1,3.6,7.2,26000,1.2,15.8,17,42,14,2.7,1.1,<3,10,7,0.099,0.061,0.044,0.49,0.07,0.43
2015-05-06T00:00:00,07:40:00,21.4,6.3,7,7940,0.65,4.4,220,450,180,2.7,1.1,<3,10,6,0.3,0.25,0.16,0.94,0.22,0.69
2015-05-06T00:00:00,08:15:00,21.4,5.6,7,6930,0.65,3.8,250,470,150,3.7,1.1,<3,7,6,0.31,0.26,0.16,0.96,0.23,0.7
2015-05-06T00:00:00,08:50:00,21.9,5.8,7,5800,0.65,3.1,260,470,110 EST,3.7,1.1,<3,<2,6,0.44,0.23,0.26,1.07,0.33,0.84
2015-05-06T00:00:00,09:20:00,22.3,4.7,7,5510,0.65,3,170,380,110 EST,4.3,1.1,<3,7,6,0.43,0.22,0.24,1.03,0.31,0.81
2015-05-06T00:00:00,09:50:00,22.5,7.7,7,7690,0.65,3.1,150,270,110 EST,1.1,1,<3,10,6,0.42,0.22,0.25,1.05,0.32,0.83
2015-05-06T00:00:00,10:15:00,22.4,5,7,5980,0.65,3.2,170,280,110 EST,3.7,1.1,<3,6,6,0.42,0.22,0.24,1.02,0.3,0.8
2015-05-06T00:00:00,10:40:00,22.8,7.3,6.9,5030,0.6,2.7,150,280,140 EST,4.8,1.1,<3,4,6,0.29,0.24,0.13,0.87,0.19,0.63
2015-05-06T00:00:00,11:10:00,22.8,3.9,6.8,4920,0.6,2.6,170,310,190,3.7,1.1,<3,2,5,0.1,0.26,0.027,0.65,0.06,0.4
2015-06-19T00:00:00,07:45:00,18.8,6.1,7.3,35200,1.35,22.1,39,120,16,2,1,<3,20,3,0.11,0.054,0.03,0.43,0.05,0.38
2015-06-19T00:00:00,08:20:00,18.8,6.2,7.3,36100,1.3,22.7,38,130,21,2,1,<3,15,3,0.12,0.061,0.036,0.46,0.06,0.4
2015-06-19T00:00:00,08:45:00,19.2,4.4,7.3,32300,1.3,20.1,32,77,30,1.3,1,<3,2,3,0.11,0.071,0.041,0.47,0.06,0.4
2015-06-19T00:00:00,09:10:00,19.1,6.4,7.2,29400,1.25,18.1,35,86,15,1.3,1,<3,2,4,0.11,0.074,0.039,0.47,0.06,0.39
2015-06-19T00:00:00,09:35:00,19.6,4.5,7.2,28500,1.3,17.5,19,110,17,<1,1,<3,2,4,0.11,0.071,0.062,0.49,0.09,0.42
2015-08-19T00:00:00,08:40:00,17.6,6.9,7.5,40600,2,25.8,3 EST,14,4 EST,1.1,1,<3,2,3,0.027,0.03,0.035,0.32,0.06,0.29
2015-08-19T00:00:00,09:10:00,17.7,6.1,7.5,40800,2,26,3 EST,26,5 EST,1.1,1,<3,3,3,0.029,0.032,0.037,0.34,0.06,0.31
2015-08-19T00:00:00,09:33:00,18,6.1,7.4,38300,2,24.2,2 EST,45,1 EST,2.1,1,<3,2,4,0.026,0.032,0.036,0.35,0.06,0.31
2015-08-19T00:00:00,09:52:00,18.2,5.6,7.4,36400,1.8,22.9,5 EST,24,3 EST,3.2,1.1,<3,15,3,0.027,0.034,0.036,0.35,0.06,0.32
2015-08-19T00:00:00,10:12:00,18.2,6.2,7.4,36400,1.8,22.9,8 EST,39,1 EST,1.1,1,<3,3,4,0.029,0.036,0.044,0.35,0.06,0.31
2015-08-19T00:00:00,10:26:00,18.4,6,7.3,34400,2,21.5,5 EST,23,2 EST,4.3,1.1,<3,3,3,0.03,0.035,0.042,0.36,0.06,0.32
2015-08-19T00:00:00,10:48:00,18.3,6,7.3,32700,2,20.3,6 EST,24,4 EST,1.1,1,<3,2,4,0.03,0.039,0.028,0.33,0.04,0.29
2015-08-19T00:00:00,11:02:00,18.2,6.1,7.2,30500,2,18.9,14,29,4 EST,3.2,1,<3,2,4,0.027,0.041,0.025,0.34,0.04,0.3
2015-09-24T00:00:00,07:25:00,20.8,8.4,7.7,41000,2.1,26.2,23,37,4 EST,2.1,1,<3,2,3,<0.005,<0.005,0.029,0.26,0.05,0.26
2015-09-24T00:00:00,07:55:00,20,6.6,7.7,38900,2.1,24.7,18,26,6 EST,1.1,1,<3,3,3,<0.005,<0.005,0.036,0.3,0.06,0.3
2015-09-24T00:00:00,08:15:00,20.7,8.4,7.6,35900,2.1,22.6,29,36,5 EST,1.1,1,<3,5,3,<0.005,<0.005,0.062,0.34,0.09,0.34
2015-09-24T00:00:00,08:35:00,21.2,7.7,7.5,28500,2,17.6,14,45,10,2.1,1,<3,2,3,<0.005,0.009,0.073,0.33,0.09,0.32
2015-09-24T00:00:00,08:55:00,21.3,6.1,7.5,35100,1.9,22.1,8 EST,23,7 EST,3.2,1,<3,3,3,<0.005,<0.005,0.042,0.35,0.07,0.35
2015-09-24T00:00:00,09:10:00,21.3,5.6,7.4,31500,2.3,19.5,14,29,3 EST,3.2,1.1,<3,17,3,0.007,0.006,0.033,0.31,0.06,0.31
2015-09-24T00:00:00,09:35:00,21.5,8.2,7.4,29100,3.2,17.9,23,41,8 EST,4.3,1.1,<3,6,3,0.007,0.009,0.025,0.32,0.05,0.31
2015-09-24T00:00:00,10:00:00,21.5,8.6,7.3,22600,2,13.6,26,51,19,3.2,1,<3,2,4,0.013,0.013,0.017,0.33,0.03,0.31
2015-12-17T00:00:00,07:50:00,26.8,7.6,7.5,42700,1.1,27.5,6 EST,33,4 EST,2.1,1,<3,8,4,<0.005,<0.005,0.082,0.41,0.13,0.41
2015-12-17T00:00:00,08:20:00,27.1,4.5,7.5,42800,1.1,27.5,11,29,9 EST,3.2,1,<3,9,4,<0.005,0.01,0.088,0.4,0.13,0.39
2015-12-17T00:00:00,08:40:00,27.2,5.3,7.4,39200,1.2,25,11,28,4 EST,4.3,1.1,<3,8,4,<0.005,0.014,0.089,0.42,0.14,0.41
2015-12-17T00:00:00,08:55:00,27.3,7.6,7.4,33800,1.1,21.2,20,42,5 EST,5.3,1,<3,6,3,0.005,0.019,0.092,0.43,0.14,0.41
2015-12-17T00:00:00,09:15:00,27.6,6.3,7.4,36000,1.1,22.7,9 EST,27,5 EST,7.5,1.1,<3,9,4,<0.005,0.017,0.085,0.45,0.14,0.43
2015-12-17T00:00:00,09:40:00,27.6,7.4,7.4,36700,1,23.2,11,55,2 EST,8.5,1.1,<3,9,4,<0.005,0.015,0.078,0.48,0.14,0.46
2015-12-17T00:00:00,10:00:00,27.6,7.6,7.3,34600,1.1,21.8,14,41,2 EST,13,1.2,<3,5,4,0.014,0.018,0.059,0.42,0.1,0.4
2015-12-17T00:00:00,10:20:00,27.6,7.7,7.3,31200,1.1,19.4,24,48,2 EST,5.3,1.1,<3,4,4,<0.005,0.008,0.038,0.4,0.08,0.4
2016-02-25T00:00:00,08:15:00,27.8,5.6,7.7,42200,0.7,27.1,2 EST,9 EST,4 EST,11,1.1,<3,5,4,0.005,<0.005,0.058,0.41,0.12,0.41
2016-02-25T00:00:00,08:46:00,28,6.2,7.7,41800,0.7,26.8,2 EST,3 EST,2 EST,12,1.1,3,6,4,0.006,<0.005,0.062,0.39,0.12,0.39
2016-02-25T00:00:00,09:14:00,28.2,6.5,7.7,39000,0.6,24.8,6 EST,15,1 EST,13,1.1,<3,8,5,0.005,<0.005,0.08,0.44,0.14,0.44
2016-02-25T00:00:00,09:45:00,28.6,6.2,7.7,38200,0.6,24.2,8 EST,21,<1,12,1.1,<3,7,4,0.007,<0.005,0.089,0.44,0.16,0.44
